dataset,window_tag,hidden,mode,bin,draw_source,draw,repeat,run_status,out_dir,iter_file,iter_idx,n0_value,selected_groups_json,selected_count,selected_key
FD001,W30_step1,10,sensors,low,train,2,0,ok,results/time_trust_stability_lowrul/FD001/W30_step1/h10/sensors/low/draw_002_n_100_rulmean_13.170_rep_000/results/FD001/W30_step1/h10/sensors__mlp_transfer__capped_slack0.000,results/time_trust_stability_lowrul/FD001/W30_step1/h10/sensors/low/draw_002_n_100_rulmean_13.170_rep_000/results/FD001/W30_step1/h10/sensors__mlp_transfer__capped_slack0.000/iter_004.json,4,11,"[""10"", ""11"", ""12"", ""15"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9""]",11,selected_sensors
FD001,W30_step1,10,sensors,low,train,2,0,ok,results/time_trust_stability_lowrul/FD001/W30_step1/h10/sensors/low/draw_002_n_100_rulmean_13.170_rep_000/results/FD001/W30_step1/h10/sensors__mlp_transfer__capped_slack0.000,results/time_trust_stability_lowrul/FD001/W30_step1/h10/sensors/low/draw_002_n_100_rulmean_13.170_rep_000/results/FD001/W30_step1/h10/sensors__mlp_transfer__capped_slack0.000/iter_005.json,5,10,"[""10"", ""11"", ""12"", ""15"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8""]",10,selected_sensors
FD001,W30_step1,10,sensors,low,train,2,0,ok,results/time_trust_stability_lowrul/FD001/W30_step1/h10/sensors/low/draw_002_n_100_rulmean_13.170_rep_000/results/FD001/W30_step1/h10/sensors__mlp_transfer__capped_slack0.000,results/time_trust_stability_lowrul/FD001/W30_step1/h10/sensors/low/draw_002_n_100_rulmean_13.170_rep_000/results/FD001/W30_step1/h10/sensors__mlp_transfer__capped_slack0.000/iter_006.json,6,9,"[""10"", ""11"", ""12"", ""15"", ""4"", ""5"", ""6"", ""7"", ""8""]",9,selected_sensors
FD001,W30_step1,10,sensors,low,train,2,0,ok,results/time_trust_stability_lowrul/FD001/W30_step1/h10/sensors/low/draw_002_n_100_rulmean_13.170_rep_000/results/FD001/W30_step1/h10/sensors__mlp_transfer__capped_slack0.000,results/time_trust_stability_lowrul/FD001/W30_step1/h10/sensors/low/draw_002_n_100_rulmean_13.170_rep_000/results/FD001/W30_step1/h10/sensors__mlp_transfer__capped_slack0.000/iter_007.json,7,8,"[""10"", ""11"", ""12"", ""15"", ""4"", ""5"", ""6"", ""8""]",8,selected_sensors
FD001,W30_step1,10,sensors,low,train,2,0,ok,results/time_trust_stability_lowrul/FD001/W30_step1/h10/sensors/low/draw_002_n_100_rulmean_13.170_rep_000/results/FD001/W30_step1/h10/sensors__mlp_transfer__capped_slack0.000,results/time_trust_stability_lowrul/FD001/W30_step1/h10/sensors/low/draw_002_n_100_rulmean_13.170_rep_000/results/FD001/W30_step1/h10/sensors__mlp_transfer__capped_slack0.000/iter_008.json,8,7,"[""10"", ""11"", ""12"", ""15"", ""5"", ""6"", ""8""]",7,selected_sensors
FD001,W30_step1,10,sensors,low,train,2,0,ok,results/time_trust_stability_lowrul/FD001/W30_step1/h10/sensors/low/draw_002_n_100_rulmean_13.170_rep_000/results/FD001/W30_step1/h10/sensors__mlp_transfer__capped_slack0.000,results/time_trust_stability_lowrul/FD001/W30_step1/h10/sensors/low/draw_002_n_100_rulmean_13.170_rep_000/results/FD001/W30_step1/h10/sensors__mlp_transfer__capped_slack0.000/iter_009.json,9,6,"[""10"", ""11"", ""12"", ""15"", ""6"", ""8""]",6,selected_sensors
FD001,W30_step1,10,sensors,low,train,2,0,ok,results/time_trust_stability_lowrul/FD001/W30_step1/h10/sensors/low/draw_002_n_100_rulmean_13.170_rep_000/results/FD001/W30_step1/h10/sensors__mlp_transfer__capped_slack0.000,results/time_trust_stability_lowrul/FD001/W30_step1/h10/sensors/low/draw_002_n_100_rulmean_13.170_rep_000/results/FD001/W30_step1/h10/sensors__mlp_transfer__capped_slack0.000/iter_010.json,10,5,"[""11"", ""12"", ""15"", ""6"", ""8""]",5,selected_sensors
FD001,W30_step1,10,sensors,low,train,2,0,ok,results/time_trust_stability_lowrul/FD001/W30_step1/h10/sensors/low/draw_002_n_100_rulmean_13.170_rep_000/results/FD001/W30_step1/h10/sensors__mlp_transfer__capped_slack0.000,results/time_trust_stability_lowrul/FD001/W30_step1/h10/sensors/low/draw_002_n_100_rulmean_13.170_rep_000/results/FD001/W30_step1/h10/sensors__mlp_transfer__capped_slack0.000/iter_011.json,11,4,"[""11"", ""15"", ""6"", ""8""]",4,selected_sensors
FD001,W30_step1,10,sensors,low,train,2,0,ok,results/time_trust_stability_lowrul/FD001/W30_step1/h10/sensors/low/draw_002_n_100_rulmean_13.170_rep_000/results/FD001/W30_step1/h10/sensors__mlp_transfer__capped_slack0.000,results/time_trust_stability_lowrul/FD001/W30_step1/h10/sensors/low/draw_002_n_100_rulmean_13.170_rep_000/results/FD001/W30_step1/h10/sensors__mlp_transfer__capped_slack0.000/iter_012.json,12,3,"[""11"", ""6"", ""8""]",3,selected_sensors
FD001,W30_step1,10,sensors,low,train,2,0,ok,results/time_trust_stability_lowrul/FD001/W30_step1/h10/sensors/low/draw_002_n_100_rulmean_13.170_rep_000/results/FD001/W30_step1/h10/sensors__mlp_transfer__capped_slack0.000,results/time_trust_stability_lowrul/FD001/W30_step1/h10/sensors/low/draw_002_n_100_rulmean_13.170_rep_000/results/FD001/W30_step1/h10/sensors__mlp_transfer__capped_slack0.000/iter_013.json,13,2,"[""11"", ""6""]",2,selected_sensors
FD001,W30_step1,10,sensors,low,train,2,0,ok,results/time_trust_stability_lowrul/FD001/W30_step1/h10/sensors/low/draw_002_n_100_rulmean_13.170_rep_000/results/FD001/W30_step1/h10/sensors__mlp_transfer__capped_slack0.000,results/time_trust_stability_lowrul/FD001/W30_step1/h10/sensors/low/draw_002_n_100_rulmean_13.170_rep_000/results/FD001/W30_step1/h10/sensors__mlp_transfer__capped_slack0.000/iter_014.json,14,1,"[""6""]",1,selected_sensors
FD001,W30_step1,10,sensors,low,train,3,0,ok,results/time_trust_stability_lowrul/FD001/W30_step1/h10/sensors/low/draw_003_n_100_rulmean_14.980_rep_000/results/FD001/W30_step1/h10/sensors__mlp_transfer__capped_slack0.000,results/time_trust_stability_lowrul/FD001/W30_step1/h10/sensors/low/draw_003_n_100_rulmean_14.980_rep_000/results/FD001/W30_step1/h10/sensors__mlp_transfer__capped_slack0.000/iter_001.json,1,14,"[""1"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9""]",14,selected_sensors
FD001,W30_step1,10,sensors,low,train,3,0,ok,results/time_trust_stability_lowrul/FD001/W30_step1/h10/sensors/low/draw_003_n_100_rulmean_14.980_rep_000/results/FD001/W30_step1/h10/sensors__mlp_transfer__capped_slack0.000,results/time_trust_stability_lowrul/FD001/W30_step1/h10/sensors/low/draw_003_n_100_rulmean_14.980_rep_000/results/FD001/W30_step1/h10/sensors__mlp_transfer__capped_slack0.000/iter_002.json,2,13,"[""1"", ""10"", ""11"", ""12"", ""14"", ""15"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9""]",13,selected_sensors
FD001,W30_step1,10,sensors,low,train,3,0,ok,results/time_trust_stability_lowrul/FD001/W30_step1/h10/sensors/low/draw_003_n_100_rulmean_14.980_rep_000/results/FD001/W30_step1/h10/sensors__mlp_transfer__capped_slack0.000,results/time_trust_stability_lowrul/FD001/W30_step1/h10/sensors/low/draw_003_n_100_rulmean_14.980_rep_000/results/FD001/W30_step1/h10/sensors__mlp_transfer__capped_slack0.000/iter_003.json,3,12,"[""10"", ""11"", ""12"", ""14"", ""15"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9""]",12,selected_sensors
FD001,W30_step1,10,sensors,low,train,3,0,ok,results/time_trust_stability_lowrul/FD001/W30_step1/h10/sensors/low/draw_003_n_100_rulmean_14.980_rep_000/results/FD001/W30_step1/h10/sensors__mlp_transfer__capped_slack0.000,results/time_trust_stability_lowrul/FD001/W30_step1/h10/sensors/low/draw_003_n_100_rulmean_14.980_rep_000/results/FD001/W30_step1/h10/sensors__mlp_transfer__capped_slack0.000/iter_004.json,4,11,"[""10"", ""11"", ""12"", ""15"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9""]",11,selected_sensors
FD001,W30_step1,10,sensors,low,train,3,0,ok,results/time_trust_stability_lowrul/FD001/W30_step1/h10/sensors/low/draw_003_n_100_rulmean_14.980_rep_000/results/FD001/W30_step1/h10/sensors__mlp_transfer__capped_slack0.000,results/time_trust_stability_lowrul/FD001/W30_step1/h10/sensors/low/draw_003_n_100_rulmean_14.980_rep_000/results/FD001/W30_step1/h10/sensors__mlp_transfer__capped_slack0.000/iter_005.json,5,10,"[""10"", ""11"", ""12"", ""15"", ""3"", ""5"", ""6"", ""7"", ""8"", ""9""]",10,selected_sensors
FD001,W30_step1,10,sensors,low,train,3,0,ok,results/time_trust_stability_lowrul/FD001/W30_step1/h10/sensors/low/draw_003_n_100_rulmean_14.980_rep_000/results/FD001/W30_step1/h10/sensors__mlp_transfer__capped_slack0.000,results/time_trust_stability_lowrul/FD001/W30_step1/h10/sensors/low/draw_003_n_100_rulmean_14.980_rep_000/results/FD001/W30_step1/h10/sensors__mlp_transfer__capped_slack0.000/iter_006.json,6,9,"[""10"", ""11"", ""12"", ""15"", ""3"", ""5"", ""6"", ""8"", ""9""]",9,selected_sensors
FD001,W30_step1,10,sensors,low,train,3,0,ok,results/time_trust_stability_lowrul/FD001/W30_step1/h10/sensors/low/draw_003_n_100_rulmean_14.980_rep_000/results/FD001/W30_step1/h10/sensors__mlp_transfer__capped_slack0.000,results/time_trust_stability_lowrul/FD001/W30_step1/h10/sensors/low/draw_003_n_100_rulmean_14.980_rep_000/results/FD001/W30_step1/h10/sensors__mlp_transfer__capped_slack0.000/iter_007.json,7,8,"[""10"", ""11"", ""12"", ""15"", ""3"", ""6"", ""8"", ""9""]",8,selected_sensors
